effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,138.1,2608,1.226e+04,2.198e+05,3.793e+06,1.115e+32,102.8,2006,9811,1.486e+05,1.185e+06,-5.069e+30,69.93,1314,6152,1.181e+05,2.17e+06,9.124e+31,-20.72,-380.2,-1895,-4.458e+04,-1.425e+06,-2.59e+31,5.979,124,577.4,4856,-1.999e+05,-6.613e+30,58.46,1092,5068,9.1e+04,1.561e+06,3.374e+31,43.79,706.4,3003,4.538e+04,6e+05,-1.111e+31,26.22,262.3,674.5,-2632,-2.954e+05,-1.469e+31,48.95,943.1,4345,5.931e+04,2.345e+05,-5.178e+30
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,415,355.7,426.8,320.1,0,0,415,355.7,426.8,320.1,0,0,207.3,177.7,213.1,160,0,0,87.81,57.59,-30.28,-65.29,0,0,79.28,54.32,29.75,13.8,0,0,183.1,147.3,163.7,123,0,0,136.9,108.7,115.6,87.47,0,0,79.74,61.83,58.96,45.69,0,0,300.1,239.5,188.1,98.41,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,216.1,185.3,222.3,166.7,0,0,216.1,185.3,222.3,166.7,0,0,108,92.56,111,83.34,0,0,45.74,30,-15.77,-34.01,0,0,41.29,28.29,15.5,7.188,0,0,95.85,77.13,85.75,64.41,0,0,73.75,58.63,62.52,47.3,0,0,46.31,36.06,34.95,26.98,0,0,156.3,124.8,97.99,51.26,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,922.7,791,949.1,711.9,0,0,922.7,791,949.1,711.9,0,0,460.9,395.2,473.9,355.8,0,0,195.3,128.1,-67.34,-145.2,0,0,176.3,120.8,66.16,30.69,0,0,404.7,325.5,361.6,271.7,0,0,291.6,231,244.9,185.4,0,0,152.5,117.6,109.4,85.28,0,0,667.4,532.7,418.4,218.8,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,134.1,2542,1.221e+04,2.169e+05,3.7e+06,1.11e+32,103,1970,9721,1.491e+05,1.184e+06,-5.101e+30,69.61,1321,6311,1.138e+05,2.029e+06,9.059e+31,-17.86,-320.4,-1662,-4.579e+04,-1.479e+06,-2.607e+31,6.489,135.4,638,4427,-2.189e+05,-6.66e+30,57.21,1077,5108,8.891e+04,1.494e+06,3.349e+31,43.18,705.4,3069,4.368e+04,5.466e+05,-1.121e+31,26.34,277.5,767.2,-3988,-3.377e+05,-1.479e+31,48.03,927.8,4369,5.957e+04,2.293e+05,-5.21e+30
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,134.5,115.3,138.3,103.7,0,0,134.5,115.3,138.3,103.7,0,0,67.16,57.58,69.06,51.85,0,0,28.45,18.66,-9.813,-21.16,0,0,25.69,17.6,9.64,4.472,0,0,59.85,48.17,53.56,40.23,0,0,46.99,37.4,39.95,30.22,0,0,30.99,24.2,23.7,18.25,0,0,97.25,77.62,60.96,31.89,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,70.02,60.02,72.02,54.02,0,0,70.02,60.02,72.02,54.02,0,0,34.98,29.99,35.96,27,0,0,14.82,9.718,-5.11,-11.02,0,0,13.38,9.167,5.02,2.329,0,0,31.32,25.21,28.04,21.07,0,0,25.26,20.13,21.56,16.3,0,0,17.71,13.88,13.76,10.57,0,0,50.64,40.42,31.75,16.61,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,599.1,513.6,616.2,462.3,0,0,599.1,513.6,616.2,462.3,0,0,299.3,256.6,307.7,231,0,0,126.8,83.15,-43.72,-94.27,0,0,114.5,78.43,42.96,19.93,0,0,263.7,212.1,235.7,177,0,0,193.8,153.7,163.2,123.6,0,0,107.7,83.3,78.62,61.06,0,0,433.3,345.9,271.6,142.1,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,1201,9354,4.018e+04,7.074e+05,1.243e+07,2.534e+31,680.4,5226,2.38e+04,3.148e+05,-1.185e+06,-6.644e+32,-2619,-2.02e+04,-8.505e+04,-1.356e+06,-2.122e+07,-2.632e+33,-4086,-3.15e+04,-1.333e+05,-2.269e+06,-4.035e+07,-3.396e+33,-1067,-8195,-3.465e+04,-5.969e+05,-1.105e+07,-1.015e+33,-479,-3812,-1.629e+04,-2.609e+05,-4.125e+06,-1.027e+33,-833.6,-7083,-3.18e+04,-5.781e+05,-1.048e+07,-1.519e+33,-1232,-1.061e+04,-4.798e+04,-8.814e+05,-1.582e+07,-1.581e+33,-180.5,-1285,-5325,-1.588e+05,-5.952e+06,-6.791e+32
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,24.8,21.26,25.5,19.13,0,0,24.8,21.26,25.5,19.13,0,0,-49.64,-42.55,-51.07,-38.28,0,0,-65.58,-58.32,-81.55,-62.41,0,0,-15.3,-14.29,-20.15,-15.83,0,0,-7.9,-6.597,-7.785,-5.812,0,0,-11.9,-9.967,-12.13,-8.99,0,0,-16.78,-14.06,-17.33,-12.8,0,0,10.52,6.898,-3.278,-3.722,0,0
